Year,Vol,Issue,BookUrl,Journal,BookId
2010,14,1,https://www.tandfonline.com/toc/gits20/14/1?nav=tocList,JITS,2010-14-1
2010,14,2,https://www.tandfonline.com/toc/gits20/14/2?nav=tocList,JITS,2010-14-2
2010,14,3,https://www.tandfonline.com/toc/gits20/14/3?nav=tocList,JITS,2010-14-3
2010,14,4,https://www.tandfonline.com/toc/gits20/14/4?nav=tocList,JITS,2010-14-4
2011,15,1,https://www.tandfonline.com/toc/gits20/15/1?nav=tocList,JITS,2011-15-1
2011,15,2,https://www.tandfonline.com/toc/gits20/15/2?nav=tocList,JITS,2011-15-2
2011,15,3,https://www.tandfonline.com/toc/gits20/15/3?nav=tocList,JITS,2011-15-3
2011,15,4,https://www.tandfonline.com/toc/gits20/15/4?nav=tocList,JITS,2011-15-4
2012,16,1,https://www.tandfonline.com/toc/gits20/16/1?nav=tocList,JITS,2012-16-1
2012,16,2,https://www.tandfonline.com/toc/gits20/16/2?nav=tocList,JITS,2012-16-2
2012,16,3,https://www.tandfonline.com/toc/gits20/16/3?nav=tocList,JITS,2012-16-3
2012,16,4,https://www.tandfonline.com/toc/gits20/16/4?nav=tocList,JITS,2012-16-4
2013,17,1,https://www.tandfonline.com/toc/gits20/17/1?nav=tocList,JITS,2013-17-1
2013,17,2,https://www.tandfonline.com/toc/gits20/17/2?nav=tocList,JITS,2013-17-2
2013,17,3,https://www.tandfonline.com/toc/gits20/17/3?nav=tocList,JITS,2013-17-3
2013,17,4,https://www.tandfonline.com/toc/gits20/17/4?nav=tocList,JITS,2013-17-4
2014,18,1,https://www.tandfonline.com/toc/gits20/18/1?nav=tocList,JITS,2014-18-1
2014,18,2,https://www.tandfonline.com/toc/gits20/18/2?nav=tocList,JITS,2014-18-2
2014,18,3,https://www.tandfonline.com/toc/gits20/18/3?nav=tocList,JITS,2014-18-3
2014,18,4,https://www.tandfonline.com/toc/gits20/18/4?nav=tocList,JITS,2014-18-4
2015,19,1,https://www.tandfonline.com/toc/gits20/19/1?nav=tocList,JITS,2015-19-1
2015,19,2,https://www.tandfonline.com/toc/gits20/19/2?nav=tocList,JITS,2015-19-2
2015,19,3,https://www.tandfonline.com/toc/gits20/19/3?nav=tocList,JITS,2015-19-3
2015,19,4,https://www.tandfonline.com/toc/gits20/19/4?nav=tocList,JITS,2015-19-4
2016,20,1,https://www.tandfonline.com/toc/gits20/20/1?nav=tocList,JITS,2016-20-1
2016,20,2,https://www.tandfonline.com/toc/gits20/20/2?nav=tocList,JITS,2016-20-2
2016,20,3,https://www.tandfonline.com/toc/gits20/20/3?nav=tocList,JITS,2016-20-3
2016,20,4,https://www.tandfonline.com/toc/gits20/20/4?nav=tocList,JITS,2016-20-4
2016,20,5,https://www.tandfonline.com/toc/gits20/20/5?nav=tocList,JITS,2016-20-5
2016,20,6,https://www.tandfonline.com/toc/gits20/20/6?nav=tocList,JITS,2016-20-6
2017,21,1,https://www.tandfonline.com/toc/gits20/21/1?nav=tocList,JITS,2017-21-1
2017,21,2,https://www.tandfonline.com/toc/gits20/21/2?nav=tocList,JITS,2017-21-2
2017,21,3,https://www.tandfonline.com/toc/gits20/21/3?nav=tocList,JITS,2017-21-3
2017,21,4,https://www.tandfonline.com/toc/gits20/21/4?nav=tocList,JITS,2017-21-4
2017,21,5,https://www.tandfonline.com/toc/gits20/21/5?nav=tocList,JITS,2017-21-5
2017,21,6,https://www.tandfonline.com/toc/gits20/21/6?nav=tocList,JITS,2017-21-6
2018,22,1,https://www.tandfonline.com/toc/gits20/22/1?nav=tocList,JITS,2018-22-1
2018,22,2,https://www.tandfonline.com/toc/gits20/22/2?nav=tocList,JITS,2018-22-2
2018,22,3,https://www.tandfonline.com/toc/gits20/22/3?nav=tocList,JITS,2018-22-3
2018,22,4,https://www.tandfonline.com/toc/gits20/22/4?nav=tocList,JITS,2018-22-4
2018,22,5,https://www.tandfonline.com/toc/gits20/22/5?nav=tocList,JITS,2018-22-5
2018,22,6,https://www.tandfonline.com/toc/gits20/22/6?nav=tocList,JITS,2018-22-6
2019,23,1,https://www.tandfonline.com/toc/gits20/23/1?nav=tocList,JITS,2019-23-1
2019,23,2,https://www.tandfonline.com/toc/gits20/23/2?nav=tocList,JITS,2019-23-2
2019,23,3,https://www.tandfonline.com/toc/gits20/23/3?nav=tocList,JITS,2019-23-3
2019,23,4,https://www.tandfonline.com/toc/gits20/23/4?nav=tocList,JITS,2019-23-4
2019,23,5,https://www.tandfonline.com/toc/gits20/23/5?nav=tocList,JITS,2019-23-5
2019,23,6,https://www.tandfonline.com/toc/gits20/23/6?nav=tocList,JITS,2019-23-6
2020,24,1,https://www.tandfonline.com/toc/gits20/24/1?nav=tocList,JITS,2020-24-1
2020,24,2,https://www.tandfonline.com/toc/gits20/24/2?nav=tocList,JITS,2020-24-2
2020,24,3,https://www.tandfonline.com/toc/gits20/24/3?nav=tocList,JITS,2020-24-3
2020,24,4,https://www.tandfonline.com/toc/gits20/24/4?nav=tocList,JITS,2020-24-4
2020,24,5,https://www.tandfonline.com/toc/gits20/24/5?nav=tocList,JITS,2020-24-5
2020,24,6,https://www.tandfonline.com/toc/gits20/24/6?nav=tocList,JITS,2020-24-6
